trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_time,shape_dist_traveled
1002,00:18:30,00:18:30,2,2,,,,
1002,00:20:00,00:20:00,3,3,,,,
1002,00:21:30,00:21:30,4,4,,,,
1002,00:23:00,00:23:00,5,5,,,,
1002,00:24:30,00:24:30,6,6,,,,
1002,00:26:00,00:26:00,7,7,,,,
1002,00:27:30,00:27:30,8,8,,,,
1002,00:29:00,00:29:00,9,9,,,,
1002,00:30:30,00:30:30,10,10,,,,
1002,00:32:00,00:32:00,1,1,,,,
1002,00:33:30,00:33:30,2,2,,,,
1002,00:35:00,00:35:00,3,3,,,,
1002,00:36:30,00:36:30,4,4,,,,
1002,00:38:00,00:38:00,5,5,,,,
1002,00:39:30,00:39:30,6,6,,,,
1002,00:41:00,00:41:00,7,7,,,,
1002,00:42:30,00:42:30,8,8,,,,
1002,00:44:00,00:44:00,9,9,,,,
1002,00:45:30,00:45:30,10,10,,,,
1002,00:47:00,00:47:00,1,1,,,,
1002,00:48:30,00:48:30,2,2,,,,
1002,00:50:00,00:50:00,3,3,,,,
1002,00:51:30,00:51:30,4,4,,,,
1002,00:53:00,00:53:00,5,5,,,,
1002,00:54:30,00:54:30,6,6,,,,
1002,00:56:00,00:56:00,7,7,,,,
1002,00:57:30,00:57:30,8,8,,,,
1002,00:59:00,00:59:00,9,9,,,,
1002,01:00:30,01:00:30,10,10,,,,
1003,00:04:00,00:04:00,1,1,,,,
1003,00:05:30,00:05:30,2,2,,,,
1003,00:07:00,00:07:00,3,3,,,,
1003,00:08:30,00:08:30,4,4,,,,
1003,00:10:00,00:10:00,5,5,,,,
1003,00:11:30,00:11:30,6,6,,,,
1003,00:13:00,00:13:00,7,7,,,,
1003,00:14:30,00:14:30,8,8,,,,
1003,00:16:00,00:16:00,9,9,,,,
1003,00:17:30,00:17:30,10,10,,,,
1003,00:19:00,00:19:00,1,1,,,,
1003,00:20:30,00:20:30,2,2,,,,
1003,00:22:00,00:22:00,3,3,,,,
1003,00:23:30,00:23:30,4,4,,,,
1003,00:25:00,00:25:00,5,5,,,,
1003,00:26:30,00:26:30,6,6,,,,
1003,00:28:00,00:28:00,7,7,,,,
1003,00:29:30,00:29:30,8,8,,,,
1003,00:31:00,00:31:00,9,9,,,,
1003,00:32:30,00:32:30,10,10,,,,
1003,00:34:00,00:34:00,1,1,,,,
1003,00:35:30,00:35:30,2,2,,,,
1003,00:37:00,00:37:00,3,3,,,,
1003,00:38:30,00:38:30,4,4,,,,
1003,00:40:00,00:40:00,5,5,,,,
1003,00:41:30,00:41:30,6,6,,,,
1003,00:43:00,00:43:00,7,7,,,,
1003,00:44:30,00:44:30,8,8,,,,
1003,00:46:00,00:46:00,9,9,,,,
1003,00:47:30,00:47:30,10,10,,,,
1003,00:49:00,00:49:00,1,1,,,,
1003,00:50:30,00:50:30,2,2,,,,
1003,00:52:00,00:52:00,3,3,,,,
1003,00:53:30,00:53:30,4,4,,,,
1003,00:55:00,00:55:00,5,5,,,,
1003,00:56:30,00:56:30,6,6,,,,
1003,00:58:00,00:58:00,7,7,,,,
1003,00:59:30,00:59:30,8,8,,,,
1003,01:01:00,01:01:00,9,9,,,,
1003,01:02:30,01:02:30,10,10,,,,
